id,date,time_hours,total_intensity, average_intensity ,calories
1503960366,4/12/2016,12:00:00 AM,20,0.33,81
1503960366,4/12/2016,1:00:00 AM,8,0.13,61
1503960366,4/12/2016,2:00:00 AM,7,0.12,59
1503960366,4/12/2016,3:00:00 AM,0,0.0,47
1503960366,4/12/2016,4:00:00 AM,0,0.0,48
1503960366,4/12/2016,5:00:00 AM,0,0.0,48
1503960366,4/12/2016,6:00:00 AM,0,0.0,48
1503960366,4/12/2016,7:00:00 AM,0,0.0,47
1503960366,4/12/2016,8:00:00 AM,13,0.22,68
1503960366,4/12/2016,9:00:00 AM,30,0.5,141
1503960366,4/12/2016,10:00:00 AM,29,0.48,99
1503960366,4/12/2016,11:00:00 AM,12,0.2,76
1503960366,4/12/2016,12:00:00 PM,11,0.18,73
1503960366,4/12/2016,1:00:00 PM,6,0.1,66
1503960366,4/12/2016,2:00:00 PM,36,0.6,110
1503960366,4/12/2016,3:00:00 PM,58,0.97,151
1503960366,4/12/2016,4:00:00 PM,13,0.22,76
1503960366,4/12/2016,5:00:00 PM,16,0.27,83
1503960366,4/12/2016,6:00:00 PM,29,0.48,124
1503960366,4/12/2016,7:00:00 PM,39,0.65,104
1503960366,4/12/2016,8:00:00 PM,41,0.68,132
1503960366,4/12/2016,9:00:00 PM,31,0.52,100
1503960366,4/12/2016,10:00:00 PM,9,0.15,65
1503960366,4/12/2016,11:00:00 PM,21,0.35,81
1503960366,4/13/2016,12:00:00 AM,14,0.23,69
1503960366,4/13/2016,1:00:00 AM,0,0.0,48
1503960366,4/13/2016,2:00:00 AM,0,0.0,47
1503960366,4/13/2016,3:00:00 AM,4,0.07,53
1503960366,4/13/2016,4:00:00 AM,0,0.0,47
1503960366,4/13/2016,5:00:00 AM,0,0.0,47
1503960366,4/13/2016,6:00:00 AM,0,0.0,48
1503960366,4/13/2016,7:00:00 AM,8,0.13,59
1503960366,4/13/2016,8:00:00 AM,12,0.2,69
1503960366,4/13/2016,9:00:00 AM,27,0.45,136
1503960366,4/13/2016,10:00:00 AM,15,0.25,77
1503960366,4/13/2016,11:00:00 AM,16,0.27,84
1503960366,4/13/2016,12:00:00 PM,15,0.25,82
1503960366,4/13/2016,1:00:00 PM,10,0.17,72
1503960366,4/13/2016,2:00:00 PM,46,0.77,128
1503960366,4/13/2016,3:00:00 PM,13,0.22,79
1503960366,4/13/2016,4:00:00 PM,10,0.17,71
1503960366,4/13/2016,5:00:00 PM,23,0.38,87
1503960366,4/13/2016,6:00:00 PM,25,0.42,118
1503960366,4/13/2016,7:00:00 PM,13,0.22,73
1503960366,4/13/2016,8:00:00 PM,0,0.0,47
1503960366,4/13/2016,9:00:00 PM,0,0.0,48
1503960366,4/13/2016,10:00:00 PM,11,0.18,74
1503960366,4/13/2016,11:00:00 PM,56,0.93,135
1503960366,4/14/2016,12:00:00 AM,4,0.07,56
1503960366,4/14/2016,1:00:00 AM,3,0.05,54
