id,activitydate,totalsteps,totaldistance,trackerdistance,loggedactivitiesdistance,calories
1503960366,4/12/2016,13162,8.5,8.5,0.0,1985
1503960366,4/13/2016,10735,6.97,6.97,0.0,1797
1503960366,4/14/2016,10460,6.74,6.74,0.0,1776
1503960366,4/15/2016,9762,6.28,6.28,0.0,1745
1503960366,4/16/2016,12669,8.16,8.16,0.0,1863
1503960366,4/17/2016,9705,6.48,6.48,0.0,1728
1503960366,4/18/2016,13019,8.59,8.59,0.0,1921
1503960366,4/19/2016,15506,9.88,9.88,0.0,2035
1503960366,4/20/2016,10544,6.68,6.68,0.0,1786
1503960366,4/21/2016,9819,6.34,6.34,0.0,1775
1503960366,4/22/2016,12764,8.13,8.13,0.0,1827
1503960366,4/23/2016,14371,9.04,9.04,0.0,1949
1503960366,4/24/2016,10039,6.41,6.41,0.0,1788
1503960366,4/25/2016,15355,9.8,9.8,0.0,2013
1503960366,4/26/2016,13755,8.79,8.79,0.0,1970
1503960366,4/27/2016,18134,12.21,12.21,0.0,2159
1503960366,4/28/2016,13154,8.53,8.53,0.0,1898
1503960366,4/29/2016,11181,7.15,7.15,0.0,1837
1503960366,4/30/2016,14673,9.25,9.25,0.0,1947
1503960366,5/1/2016,10602,6.81,6.81,0.0,1820
1503960366,5/2/2016,14727,9.71,9.71,0.0,2004
1503960366,5/3/2016,15103,9.66,9.66,0.0,1990
1503960366,5/4/2016,11100,7.15,7.15,0.0,1819
1503960366,5/5/2016,14070,8.9,8.9,0.0,1959
1503960366,5/6/2016,12159,8.03,8.03,0.0,1896
1503960366,5/7/2016,11992,7.71,7.71,0.0,1821
1503960366,5/8/2016,10060,6.58,6.58,0.0,1740
1503960366,5/9/2016,12022,7.72,7.72,0.0,1819
1503960366,5/10/2016,12207,7.77,7.77,0.0,1859
1503960366,5/11/2016,12770,8.13,8.13,0.0,1783
1503960366,5/12/2016,0,0.0,0.0,0.0,0
1624580081,4/12/2016,8163,5.31,5.31,0.0,1432
1624580081,4/13/2016,7007,4.55,4.55,0.0,1411
1624580081,4/14/2016,9107,5.92,5.92,0.0,1572
1624580081,4/15/2016,1510,0.98,0.98,0.0,1344
1624580081,4/16/2016,5370,3.49,3.49,0.0,1463
1624580081,4/17/2016,6175,4.06,4.06,0.0,1554
1624580081,4/18/2016,10536,7.41,7.41,0.0,1604
1624580081,4/19/2016,2916,1.9,1.9,0.0,1435
1624580081,4/20/2016,4974,3.23,3.23,0.0,1446
1624580081,4/21/2016,6349,4.13,4.13,0.0,1467
1624580081,4/22/2016,4026,2.62,2.62,0.0,1470
1624580081,4/23/2016,8538,5.55,5.55,0.0,1562
1624580081,4/24/2016,6076,3.95,3.95,0.0,1617
1624580081,4/25/2016,6497,4.22,4.22,0.0,1492
1624580081,4/26/2016,2826,1.84,1.84,0.0,1402
1624580081,4/27/2016,8367,5.44,5.44,0.0,1670
1624580081,4/28/2016,2759,1.79,1.79,0.0,1401
1624580081,4/29/2016,2390,1.55,1.55,0.0,1404
1624580081,4/30/2016,6474,4.3,4.3,0.0,1655
1624580081,5/1/2016,36019,28.03,28.03,0.0,2690
1624580081,5/2/2016,7155,4.93,4.93,0.0,1497
1624580081,5/3/2016,2100,1.37,1.37,0.0,1334
1624580081,5/4/2016,2193,1.43,1.43,0.0,1368
1624580081,5/5/2016,2470,1.61,1.61,0.0,1370
1624580081,5/6/2016,1727,1.12,1.12,0.0,1341
1624580081,5/7/2016,2104,1.37,1.37,0.0,1474
1624580081,5/8/2016,3427,2.23,2.23,0.0,1427
1624580081,5/9/2016,1732,1.13,1.13,0.0,1328
1624580081,5/10/2016,2969,1.93,1.93,0.0,1393
1624580081,5/11/2016,3134,2.04,2.04,0.0,1359
1624580081,5/12/2016,2971,1.93,1.93,0.0,1002
1644430081,4/12/2016,10694,7.77,7.77,0.0,3199
1644430081,4/13/2016,8001,5.82,5.82,0.0,2902
1644430081,4/14/2016,11037,8.02,8.02,0.0,3226
1644430081,4/15/2016,5263,3.83,3.83,0.0,2750
1644430081,4/16/2016,15300,11.12,11.12,0.0,3493
1644430081,4/17/2016,8757,6.37,6.37,0.0,3011
1644430081,4/18/2016,7132,5.19,5.19,0.0,2806
1644430081,4/19/2016,11256,8.18,8.18,0.0,3300
1644430081,4/20/2016,2436,1.77,1.77,0.0,2430
1644430081,4/21/2016,1223,0.89,0.89,0.0,2140
1644430081,4/22/2016,3673,2.67,2.67,0.0,2344
1644430081,4/23/2016,6637,4.83,4.83,0.0,2677
1644430081,4/24/2016,3321,2.41,2.41,0.0,2413
1644430081,4/25/2016,3580,2.6,2.6,0.0,2497
1644430081,4/26/2016,9919,7.21,7.21,0.0,3123
1644430081,4/27/2016,3032,2.2,2.2,0.0,2489
1644430081,4/28/2016,9405,6.84,6.84,0.0,3108
1644430081,4/29/2016,3176,2.31,2.31,0.0,2498
1644430081,4/30/2016,18213,13.24,13.24,0.0,3846
1644430081,5/1/2016,6132,4.46,4.46,0.0,2696
1644430081,5/2/2016,3758,2.73,2.73,0.0,2580
1644430081,5/3/2016,12850,9.34,9.34,0.0,3324
1644430081,5/4/2016,2309,1.68,1.68,0.0,2222
1644430081,5/5/2016,4363,3.19,3.19,0.0,2463
1644430081,5/6/2016,9787,7.12,7.12,0.0,3328
1644430081,5/7/2016,13372,9.72,9.72,0.0,3404
1644430081,5/8/2016,6724,4.89,4.89,0.0,2987
1644430081,5/9/2016,6643,4.83,4.83,0.0,3008
1644430081,5/10/2016,9167,6.66,6.66,0.0,2799
1644430081,5/11/2016,1329,0.97,0.97,0.0,1276
1844505072,4/12/2016,6697,4.43,4.43,0.0,2030
1844505072,4/13/2016,4929,3.26,3.26,0.0,1860
1844505072,4/14/2016,7937,5.25,5.25,0.0,2130
1844505072,4/15/2016,3844,2.54,2.54,0.0,1725
1844505072,4/16/2016,3414,2.26,2.26,0.0,1657
1844505072,4/17/2016,4525,2.99,2.99,0.0,1793
1844505072,4/18/2016,4597,3.04,3.04,0.0,1814
1844505072,4/19/2016,197,0.13,0.13,0.0,1366
1844505072,4/20/2016,8,0.01,0.01,0.0,1349
1844505072,4/21/2016,8054,5.32,5.32,0.0,2062
1844505072,4/22/2016,5372,3.55,3.55,0.0,1827
1844505072,4/23/2016,3570,2.36,2.36,0.0,1645
1844505072,4/24/2016,0,0.0,0.0,0.0,1347
1844505072,4/25/2016,0,0.0,0.0,0.0,1347
1844505072,4/26/2016,0,0.0,0.0,0.0,1347
1844505072,4/27/2016,4,0.0,0.0,0.0,1348
1844505072,4/28/2016,6907,4.57,4.57,0.0,1992
1844505072,4/29/2016,4920,3.25,3.25,0.0,1856
